gene	B10	B11	B12	B1	B2	B3	B4	B5	B6	B7	B8	B9
ENSMUSG00000114588.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000056.7	317	245	304	199	206	218	318	229	281	197	305	400
ENSMUSG00000112651.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019470.12	349	342	352	382	416	472	508	357	449	195	293	319
ENSMUSG00000031756.5	109	138	134	215	231	199	177	145	189	25	81	84
ENSMUSG00000028549.17	415	441	332	580	642	536	543	466	598	272	384	415
ENSMUSG00000115806.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085436.1	31	35	27	31	51	48	21	33	29	31	37	28
ENSMUSG00000039007.10	282	255	163	296	299	230	1072	915	783	247	351	325
ENSMUSG00000031154.15	406	431	401	456	515	553	586	438	652	289	440	529
ENSMUSG00000095924.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117234.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083982.1	2	3	2	2	10	8	4	2	3	2	1	4
ENSMUSG00000110268.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105292.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073494.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081116.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099289.1	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000106510.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076140.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115780.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111969.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081599.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088565.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065536.2	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000091604.2	54	71	82	53	78	80	64	43	94	57	70	74
ENSMUSG00000104127.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055048.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113397.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114615.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109759.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084245.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037017.15	316	326	262	383	412	380	505	389	435	174	323	327
ENSMUSG00000102673.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040054.17	455	453	671	647	703	962	783	582	1054	386	666	731
ENSMUSG00000094733.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035459.18	0	0	0	0	0	0	2	2	7	1	1	0
ENSMUSG00000107256.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082791.3	3	3	3	1	3	4	6	3	1	1	3	7
ENSMUSG00000001228.14	512	668	867	2015	2525	3059	1421	1012	1834	308	897	909
ENSMUSG00000039058.11	40	22	17	12	15	22	16	21	12	9	13	11
ENSMUSG00000101508.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099316.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117744.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092230.1	1	0	1	4	1	0	1	0	0	0	0	0
ENSMUSG00000087374.1	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000110778.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071138.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059482.15	124	126	111	132	131	128	195	150	200	69	127	127
ENSMUSG00000081626.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113424.1	202	202	143	221	182	209	213	194	182	181	293	240
ENSMUSG00000029007.8	168	172	162	223	230	301	356	232	397	176	284	309
ENSMUSG00000086209.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099799.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101482.1	0	1	0	0	1	2	0	1	1	1	0	0
ENSMUSG00000023008.18	239	280	314	562	692	820	391	270	529	176	322	331
ENSMUSG00000095479.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102700.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111970.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118007.1	48	51	46	49	59	43	70	54	50	30	47	36
ENSMUSG00000084755.1	0	1	3	3	5	1	5	4	2	0	4	2
ENSMUSG00000106065.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051238.6	83	79	75	76	113	112	95	72	124	69	77	102
ENSMUSG00000100317.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116553.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040514.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089338.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025050.8	149	128	120	199	205	185	160	112	189	53	110	100
ENSMUSG00000087401.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034151.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105949.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077396.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018666.13	468	562	516	1025	969	1030	710	560	654	294	520	500
ENSMUSG00000024188.16	740	913	651	756	708	653	965	820	765	416	560	529
ENSMUSG00000099826.1	0	0	0	0	0	0	0	0	0	0	0	0
